               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11247,            0.020322,            0.040637,            0.039795,            0.066537,            0.022581,           0.0059926,            0.090929,            0.016411,            0.025931,             0.00105,             0.00105,             0.08005
                   1,            0.088312,            0.023805,            0.019431,             0.83476,             0.12597,            0.087643,            0.026137,            0.080174,            0.016355,            0.011901,           0.0021339,           0.0021339,            0.059134
                   2,            0.073248,            0.024684,            0.012429,             0.86514,              0.1292,             0.14502,            0.048799,             0.06977,            0.014605,           0.0080348,           0.0032012,           0.0032012,            0.038201
                   3,             0.06544,            0.021192,           0.0096176,              0.5271,             0.32477,             0.25324,            0.089132,            0.061443,            0.011655,           0.0060173,           0.0042521,           0.0042521,            0.017252
                   4,            0.059062,            0.018489,           0.0077684,             0.62363,             0.34468,             0.31462,             0.12741,            0.057274,            0.010573,           0.0063397,             0.00485,             0.00485,             0.00485
                   5,            0.053129,            0.017271,           0.0067512,             0.44437,             0.37513,             0.35707,             0.17233,            0.055221,           0.0092391,           0.0055178,             0.00485,             0.00485,             0.00485
                   6,            0.047078,            0.015421,           0.0053418,             0.57733,              0.5022,             0.50961,             0.21211,            0.047529,           0.0092555,            0.003914,           0.0048125,           0.0048125,           0.0048125
                   7,            0.046229,            0.014871,           0.0046417,             0.65316,             0.44749,              0.4997,             0.21599,            0.046342,           0.0098289,           0.0040342,            0.004775,            0.004775,            0.004775
                   8,            0.043283,            0.014437,           0.0041924,             0.72127,              0.5304,              0.5899,             0.27102,            0.041171,           0.0085691,           0.0031161,           0.0047375,           0.0047375,           0.0047375
                   9,             0.04159,            0.013832,           0.0038897,             0.78107,             0.57195,             0.63889,             0.30021,            0.037941,           0.0081612,           0.0030073,              0.0047,              0.0047,              0.0047
                  10,            0.040727,            0.013945,           0.0034283,             0.72499,             0.62245,             0.63774,             0.30122,             0.03829,           0.0079873,           0.0026346,           0.0046625,           0.0046625,           0.0046625
                  11,            0.040023,            0.013384,           0.0034389,             0.74575,             0.63865,             0.67578,             0.32356,            0.037424,           0.0077443,            0.002468,            0.004625,            0.004625,            0.004625
                  12,            0.039248,            0.013203,           0.0029315,              0.7015,             0.66794,             0.67177,              0.3134,             0.03694,           0.0078754,           0.0024825,           0.0045875,           0.0045875,           0.0045875
                  13,            0.038417,            0.012893,           0.0030316,             0.75355,             0.64584,             0.67889,             0.32043,            0.037507,            0.007671,           0.0024188,             0.00455,             0.00455,             0.00455
                  14,            0.038249,            0.012291,           0.0026276,             0.72437,             0.63881,             0.65584,             0.30849,            0.037817,           0.0077602,            0.002411,           0.0045125,           0.0045125,           0.0045125
                  15,            0.036975,            0.012598,           0.0029595,             0.77692,             0.67635,             0.70823,             0.34952,            0.036128,           0.0073457,           0.0024047,            0.004475,            0.004475,            0.004475
                  16,            0.036488,            0.012107,           0.0024727,             0.88927,             0.66121,             0.73774,             0.34559,            0.036692,           0.0071393,           0.0021525,           0.0044375,           0.0044375,           0.0044375
                  17,            0.036145,            0.012022,           0.0023498,             0.79926,             0.66405,             0.70183,             0.34081,            0.036606,           0.0075784,           0.0024915,              0.0044,              0.0044,              0.0044
                  18,            0.036229,            0.011971,           0.0023963,             0.78327,             0.64233,             0.68648,             0.32851,            0.038529,           0.0075062,           0.0023411,           0.0043625,           0.0043625,           0.0043625
                  19,            0.034936,            0.011947,           0.0024622,             0.83095,             0.67564,             0.72189,             0.30339,            0.039737,            0.007587,           0.0022482,            0.004325,            0.004325,            0.004325
                  20,            0.034525,            0.011747,           0.0021522,             0.78432,             0.68995,             0.69958,             0.35328,            0.033965,           0.0073924,           0.0018945,           0.0042875,           0.0042875,           0.0042875
                  21,            0.034168,            0.011537,           0.0018638,             0.82619,              0.6795,             0.72662,             0.35571,            0.034204,           0.0070822,           0.0018597,             0.00425,             0.00425,             0.00425
                  22,             0.03364,             0.01154,           0.0021234,             0.77005,             0.72735,             0.73258,              0.3516,            0.035163,           0.0069192,           0.0017193,           0.0042125,           0.0042125,           0.0042125
                  23,            0.033226,            0.011517,           0.0019552,             0.86089,             0.69467,             0.74399,             0.37754,            0.035265,           0.0067912,            0.001764,            0.004175,            0.004175,            0.004175
                  24,            0.033647,            0.011522,           0.0021383,             0.84721,             0.75041,             0.78431,             0.38241,            0.032865,           0.0067803,            0.001864,           0.0041375,           0.0041375,           0.0041375
                  25,            0.032714,            0.011179,           0.0019361,             0.83158,             0.75136,             0.77177,             0.37768,            0.033662,           0.0069049,           0.0019594,              0.0041,              0.0041,              0.0041
                  26,            0.032379,            0.011401,           0.0019669,              0.8274,             0.72151,             0.76209,             0.37214,            0.033162,           0.0068155,             0.00151,           0.0040625,           0.0040625,           0.0040625
                  27,            0.033094,            0.010972,           0.0020199,             0.86615,             0.72735,             0.78277,             0.39227,            0.033122,           0.0070058,           0.0015223,            0.004025,            0.004025,            0.004025
                  28,             0.03262,            0.011053,           0.0020209,             0.86511,             0.72436,             0.76475,             0.36171,             0.03376,           0.0066957,           0.0017272,           0.0039875,           0.0039875,           0.0039875
                  29,            0.032103,            0.011085,           0.0017703,             0.86866,             0.75362,             0.78692,             0.39617,            0.032753,           0.0063885,           0.0015271,             0.00395,             0.00395,             0.00395
                  30,            0.031695,            0.010742,           0.0015014,             0.81411,             0.75984,             0.78519,             0.39377,            0.033141,            0.006647,           0.0018355,           0.0039125,           0.0039125,           0.0039125
                  31,            0.031728,            0.010861,           0.0017649,             0.86019,             0.74732,             0.77487,             0.38841,            0.032193,           0.0064117,           0.0015998,            0.003875,            0.003875,            0.003875
                  32,            0.030985,            0.010807,           0.0015194,             0.83812,             0.72975,             0.76677,             0.37192,            0.033658,           0.0065326,           0.0016473,           0.0038375,           0.0038375,           0.0038375
                  33,            0.030976,            0.010852,           0.0016112,             0.86472,             0.73809,             0.77896,             0.39605,            0.031815,           0.0065259,           0.0013277,              0.0038,              0.0038,              0.0038
                  34,            0.030931,            0.010742,           0.0017544,             0.84487,             0.75932,             0.78539,             0.40261,             0.03142,           0.0066134,           0.0015211,           0.0037625,           0.0037625,           0.0037625
                  35,            0.030783,            0.010583,            0.001774,             0.89592,             0.72141,              0.7802,             0.40041,            0.031454,           0.0065134,           0.0014106,            0.003725,            0.003725,            0.003725
                  36,            0.030696,            0.010481,           0.0018425,             0.81876,             0.74049,             0.74482,             0.38435,            0.031357,           0.0066711,           0.0015606,           0.0036875,           0.0036875,           0.0036875
                  37,            0.030016,            0.010666,           0.0015981,             0.89843,             0.74805,             0.79829,             0.41816,            0.030335,           0.0062953,           0.0012912,             0.00365,             0.00365,             0.00365
                  38,            0.030471,             0.01054,           0.0015192,              0.8435,             0.79133,             0.80202,             0.41244,            0.031682,           0.0063929,           0.0014008,           0.0036125,           0.0036125,           0.0036125
                  39,            0.029593,            0.010528,           0.0012692,             0.83511,             0.81806,             0.81779,             0.42558,            0.030152,           0.0063582,            0.001293,            0.003575,            0.003575,            0.003575
                  40,            0.029829,             0.01001,           0.0014774,             0.83418,             0.77595,              0.7883,             0.39984,            0.032008,           0.0063935,           0.0013702,           0.0035375,           0.0035375,           0.0035375
                  41,            0.029134,            0.010229,           0.0013589,             0.84011,             0.76996,             0.79649,             0.42454,            0.031404,           0.0064837,           0.0016092,              0.0035,              0.0035,              0.0035
                  42,            0.029388,            0.010209,           0.0013732,             0.87237,             0.78327,             0.81128,             0.41978,            0.030671,            0.006153,           0.0016379,           0.0034625,           0.0034625,           0.0034625
                  43,            0.029226,            0.010333,           0.0014694,             0.89811,              0.8056,             0.83445,             0.43215,            0.030164,           0.0065807,           0.0012259,            0.003425,            0.003425,            0.003425
                  44,            0.028818,            0.010165,           0.0015451,             0.92102,              0.7863,             0.83374,             0.43401,            0.030004,           0.0061286,           0.0012596,           0.0033875,           0.0033875,           0.0033875
                  45,            0.028547,            0.010467,           0.0013246,             0.91685,             0.78075,             0.82332,             0.43159,            0.030068,           0.0061673,           0.0011615,             0.00335,             0.00335,             0.00335
                  46,            0.028351,           0.0097313,           0.0012237,             0.91229,             0.78933,             0.83263,             0.44257,            0.030353,           0.0061678,            0.001258,           0.0033125,           0.0033125,           0.0033125
                  47,            0.028239,            0.009736,           0.0012772,             0.87412,             0.80036,               0.823,             0.42695,            0.030283,           0.0061802,           0.0013176,            0.003275,            0.003275,            0.003275
                  48,            0.028234,           0.0099796,           0.0012673,             0.89955,             0.79863,             0.83083,              0.4451,            0.029124,           0.0062195,           0.0013365,           0.0032375,           0.0032375,           0.0032375
                  49,            0.028158,           0.0096732,           0.0011141,             0.92218,             0.78321,             0.83769,             0.44876,            0.030082,           0.0060445,           0.0011446,              0.0032,              0.0032,              0.0032
                  50,            0.028173,           0.0097921,           0.0013197,             0.88189,             0.78255,             0.82342,             0.43454,            0.029967,           0.0061168,           0.0014301,           0.0031625,           0.0031625,           0.0031625
                  51,            0.028239,           0.0099476,           0.0012364,             0.88843,             0.80419,             0.83025,             0.43204,            0.031062,           0.0063128,           0.0011319,            0.003125,            0.003125,            0.003125
                  52,            0.027643,           0.0094041,           0.0011496,             0.92111,             0.79071,             0.84452,             0.45639,             0.02912,           0.0060363,           0.0012041,           0.0030875,           0.0030875,           0.0030875
                  53,            0.027433,            0.009833,           0.0010898,              0.9101,             0.81816,             0.84482,             0.44375,             0.03005,           0.0058685,           0.0011006,             0.00305,             0.00305,             0.00305
                  54,            0.026989,           0.0094059,           0.0010453,              0.9043,             0.80949,             0.84548,             0.44851,             0.02957,           0.0060137,           0.0010474,           0.0030125,           0.0030125,           0.0030125
                  55,            0.027281,            0.009546,          0.00097482,             0.91892,             0.81147,             0.85319,             0.44397,            0.028825,           0.0058757,           0.0011071,            0.002975,            0.002975,            0.002975
                  56,            0.026844,           0.0095388,           0.0011387,             0.91546,             0.81174,             0.84553,             0.45512,            0.029041,           0.0059321,            0.001223,           0.0029375,           0.0029375,           0.0029375
                  57,            0.026997,            0.009399,           0.0010485,             0.90068,             0.82731,             0.86036,             0.46616,            0.028389,           0.0060049,           0.0011958,              0.0029,              0.0029,              0.0029
                  58,            0.026412,           0.0092297,           0.0010399,             0.89781,             0.82917,              0.8509,              0.4533,            0.028497,           0.0057607,           0.0013093,           0.0028625,           0.0028625,           0.0028625
                  59,            0.026562,            0.009442,           0.0011846,             0.92147,             0.80093,             0.84688,             0.45536,            0.028464,           0.0059126,           0.0013053,            0.002825,            0.002825,            0.002825
                  60,            0.026443,           0.0092713,           0.0010394,             0.91301,             0.78946,              0.8412,             0.45583,            0.028567,           0.0059125,           0.0011976,           0.0027875,           0.0027875,           0.0027875
                  61,            0.026045,           0.0091989,           0.0010485,             0.93271,             0.80235,             0.84607,             0.47155,            0.027917,           0.0058952,           0.0011541,             0.00275,             0.00275,             0.00275
                  62,             0.02609,           0.0090698,            0.001103,             0.93313,             0.80747,             0.84343,             0.45628,            0.028367,            0.005932,           0.0012252,           0.0027125,           0.0027125,           0.0027125
                  63,            0.026236,           0.0093845,           0.0010204,             0.92296,             0.80208,             0.84679,             0.46073,            0.028608,           0.0059846,           0.0013875,            0.002675,            0.002675,            0.002675
                  64,            0.026009,           0.0091878,           0.0010868,             0.93627,                 0.8,              0.8483,             0.47279,            0.027983,           0.0057548,           0.0011789,           0.0026375,           0.0026375,           0.0026375
                  65,            0.026033,           0.0091022,           0.0010632,             0.90146,             0.84097,             0.85625,             0.47148,            0.028045,            0.005943,            0.001203,              0.0026,              0.0026,              0.0026
